time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-20T06:22:24.722Z,37.2997,-117.4998,7.7,1.1,ml,12,119.82,0.134,0.1458,nn,nn00680451,2019-03-20T18:15:14.863Z,"51km SSW of Goldfield, Nevada",earthquake,,2.1,0.24,6,reviewed,nn,nn
2019-03-20T06:15:44.120Z,38.8343315,-122.7741699,1.89,1.13,md,14,68,0.005091,0.03,nc,nc73154456,2019-03-20T08:36:02.661Z,"5km WNW of Cobb, CA",earthquake,0.28,0.46,0.07,3,automatic,nc,nc
2019-03-20T06:09:02.088Z,61.9519,-144.0424,2.4,1.6,ml,,,,0.82,ak,ak0193mr2y98,2019-03-20T06:14:38.615Z,"52km NNE of Chitina, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-03-20T06:05:16.420Z,38.8125,-122.8308334,1.3,0.56,md,13,49,0.00385,0.04,nc,nc73154451,2019-03-20T06:22:02.955Z,"8km WNW of The Geysers, CA",earthquake,0.25,0.56,0.25,3,automatic,nc,nc
2019-03-20T06:00:38.971Z,64.6864,-147.9854,9,0.5,ml,,,,0.33,ak,ak0193mr13nd,2019-03-20T06:03:46.085Z,"17km S of Ester, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-03-20T05:54:21.290Z,38.8211667,-122.7886667,0.75,1.74,md,36,28,0.01006,0.06,nc,nc73154446,2019-03-20T18:08:02.972Z,"6km NNW of The Geysers, CA",earthquake,0.12,0.2,0.176,10,reviewed,nc,nc
2019-03-20T05:51:05.176Z,61.1749,-151.8548,100.6,1.2,ml,,,,0.68,ak,ak0193mqqiyd,2019-03-20T05:54:04.055Z,"62km NNW of Nikiski, Alaska",earthquake,,1,,,automatic,ak,ak
2019-03-20T05:42:07.366Z,63.2527,-151.3215,3.1,1.4,ml,,,,1.09,ak,ak0193mqolog,2019-03-20T05:45:22.217Z,"119km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-20T05:41:43.050Z,-15.4111,-70.6249,191.64,4.6,mb,,115,2.428,0.82,us,us1000jj1k,2019-03-20T05:57:44.040Z,"28km WSW of Lampa, Peru",earthquake,8.7,6.5,0.048,131,reviewed,us,us
2019-03-20T05:39:15.685Z,60.2705,-151.0537,62.8,1.4,ml,,,,0.49,ak,ak0193mqnz5l,2019-03-20T05:45:21.816Z,"17km SE of Cohoe, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-03-20T05:33:45.480Z,17.9471,-66.163,16,1.86,md,10,212,0.0591,0.2,pr,pr2019079005,2019-03-20T07:56:19.746Z,"0km SSE of Jobos, Puerto Rico",earthquake,0.62,0.78,0.26,9,reviewed,pr,pr
2019-03-20T05:29:55.400Z,32.016,-116.253,22.85,2.21,ml,15,219,0.2594,0.15,ci,ci38277887,2019-03-20T05:33:30.846Z,"38km ENE of Ensenada, B.C., MX",earthquake,1.31,2.79,0.232,26,automatic,ci,ci
2019-03-20T05:19:09.690Z,38.8253326,-122.8560028,2.2,0.58,md,8,96,0.002311,0.02,nc,nc73154431,2019-03-20T05:35:02.531Z,"10km WNW of The Geysers, CA",earthquake,0.45,0.81,,1,automatic,nc,nc
2019-03-20T05:16:37.230Z,48.3803333333333,-122.241666666667,15.68,1.54,ml,18,188,,0.18,uw,uw61514466,2019-03-20T17:43:55.080Z,"2km S of Big Lake, Washington",earthquake,0.38,0.7,0.141671888474471,13,reviewed,uw,uw
2019-03-20T05:00:03.059Z,59.8176,-141.7945,0,2.2,ml,,,,0.82,ak,ak0193mqfl9t,2019-03-20T05:03:13.598Z,"45km SE of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
